Oxidizer,Fuel,MR by Mass,MR by Volume,Average Specific Gravity,Chamber Temp (K),Chamber c* (m/sec),M (kg/mol),Is Frozen,k
Oxygen,Methane,3.20,1.19,0.81,3526,1835,20.3,296,1.2
,Hydrazine,0.74,0.66,1.06,3285,1871,18.3,301,1.25
,Hydrogen,3.40,0.21,0.26,2959,2428,8.9,386,1.26
,RP-1,2.24,1.59,1.01,3571,1774,21.9,285.4,1.24
,UDMH,1.39,0.96,0.96,3542,1835,19.8,295,1.25
Fluorine,Hydrazine,2.30,1.54,1.31,4713,2208,19.4,365,1.33
,Hydrogen,4.54,0.21,0.33,3080,2534,8.9,389,1.33
Nitrogen Tetroxide ,Hydrazine,1.08,0.75,1.2,3258,1765,19.5,283,1.26
,50% UDMH,1.62,1.01,1.18,3242,1652,21,278,1.24
,RP-1,3.4,1.05,1.23,3290,1774,24.1,297,1.23
,MMH,1.65,1.00,1.16,3200,1591,21.7,278,1.23
Red Fuming Nitric Acid,RP-1,4.1,2.12,1.35,3175,1594,24.6,258,1.22
,50% UDMH,1.73,1.00,1.23,2997,1682,20.6,272,1.22
Hydrogen Peroxide 90%,RP-1,7.0,4.01,1.29,2760,1774,21.7,297,1.19
